periodRatio,countComma,countLetters,longestWordLength,countWspace,class
7191,1604,80,44,466455,907,21486,1
5524,1378,112,51,382194,907,20834,1
3245,607,101,40,229913,907,10798,1
12421,2474,106,37,853856,26985,22695,1
1747,469,91,202,209438,555,9452,1
1714,474,90,226,206002,555,9338,1
8976,1231,103,92,392963,656,34501,1
1734,495,90,226,208430,555,9619,1
9205,1192,157,96,409863,739,35565,1
3747,759,103,51,270379,907,13844,1
1171,727,116,149,101239,4645,5457,1
11446,3238,108,60,787914,907,36437,1
1507,384,180,117,120928,674,10921,1
6736,1824,99,61,469845,907,18804,1
1060,621,100,145,94000,4645,4863,1
9011,1148,113,93,393919,649,34927,1
1743,467,90,203,211913,555,9630,1
1718,447,90,226,207272,555,9255,1
1840,528,101,228,209701,555,10153,1
7415,1698,85,30,536659,10543,17218,1
1792,523,93,226,209600,555,10284,1
1741,929,90,226,204222,555,9242,1
4845,1220,108,45,346454,907,19653,1
1494,349,178,117,116679,631,10382,1
8986,1232,103,92,391457,656,34584,1
1583,391,184,117,132505,652,12160,1
9088,1213,131,96,410643,656,39067,1
1741,483,94,226,202415,555,9473,1
1138,224,23,31,88229,646,5232,1
8422,1916,112,53,579688,907,29709,1
1480,364,177,117,117133,652,10542,1
9006,1175,114,97,397556,649,35154,1
1587,418,185,117,128651,631,11821,1
5562,1370,98,56,393107,907,18017,1
1547,489,180,119,138568,659,11952,1
3620,720,71,31,252320,3262,7689,1
8956,1142,105,97,390114,649,34596,1
1738,471,91,227,200199,555,9209,1
1766,495,91,202,216531,555,9713,1
1621,586,189,119,138661,631,12804,1
1783,510,93,226,202207,555,9695,1
1626,420,189,120,132501,652,11954,1
3042,625,165,63,304768,667,19205,1
2974,629,140,88,290565,678,17923,1
3038,651,157,66,283011,678,17605,1
1751,490,90,226,201647,555,9519,1
1750,536,90,202,203558,555,9884,1
1129,373,46,178,95188,555,4356,1
1715,440,90,226,201575,555,9036,1
1522,362,195,117,120256,652,10849,1
1528,347,191,117,120913,652,10865,1
6624,1616,107,57,460716,907,22828,1
1740,493,90,202,201035,555,9571,1
1072,169,102,33,83213,555,6327,1
7707,1775,97,58,524265,907,23038,1
11007,2926,109,57,760957,907,36035,1
3538,686,96,52,252573,907,13497,1
9470,2596,106,56,680158,2181,34939,1
11938,3326,114,58,847951,2181,38031,1
2251,825,99,154,118517,4645,5617,1
4046,824,108,51,294518,907,15550,1
3636,759,111,51,264152,907,13993,1
2069,513,154,58,169065,678,13575,1
1524,376,181,117,123284,631,11048,1
1577,394,186,117,130607,631,11671,1
1892,605,96,226,220130,555,10764,1
3808,712,103,54,275180,907,14563,1
5288,1102,102,42,363729,907,19336,1
1745,486,90,226,206869,555,9973,1
1761,700,93,226,209415,555,9613,1
1766,478,91,226,208718,555,9605,1
9075,1277,120,93,404052,649,37059,1
8974,1329,107,97,392624,649,34642,1
1102,364,40,178,92393,555,3983,1
4160,930,92,46,290278,907,14010,1
5037,1124,107,47,385351,2189,17877,1
1742,711,104,226,211657,555,9853,1
1739,475,90,226,199272,555,9273,1
1529,403,179,119,134525,631,12014,1
1729,479,90,226,204643,555,9512,1
3641,722,98,44,257206,907,11741,1
1488,471,172,117,121132,631,10832,1
4011,847,99,46,280398,907,13452,1
2786,554,146,62,225601,678,15295,1
1498,366,176,118,122865,652,11052,1
5326,1064,100,63,360437,907,19380,1
1549,577,197,121,122775,674,10706,1
1562,394,184,117,126203,631,11342,1
1764,505,92,226,216694,555,9973,1
5966,1236,81,29,405450,9801,12143,1
1712,688,90,226,199328,555,9068,1
4832,1122,106,51,374088,2181,17827,1
1520,568,179,117,124117,631,10966,1
1819,791,107,226,217672,555,10909,1
1804,541,96,226,209287,555,10345,1
5851,1303,88,49,400468,907,18740,1
1891,831,91,226,221802,555,10859,1
7036,1646,86,28,508677,9801,15299,1
1750,471,90,202,209447,555,9433,1
1280,732,107,186,99590,8041,4489,1
6268,1396,88,44,420159,907,20488,1
2007,476,174,58,163851,678,13474,1
3634,661,165,73,386145,667,22600,1
1737,720,90,202,207980,555,9379,1
3052,644,188,75,304168,678,19012,1
6111,1373,72,28,421131,10373,13437,1
4175,874,69,29,291163,5149,9586,1
1182,771,110,189,105897,8041,5153,1
9241,1200,169,100,410972,761,35834,1
4820,1146,104,51,344185,907,16220,1
1749,496,91,226,206962,555,9906,1
3241,698,80,34,229200,907,9567,1
1534,372,181,118,124109,631,11110,1
6883,1611,113,59,475147,907,21236,1
6466,1503,103,57,458585,907,19033,1
1222,766,113,190,111647,8041,5507,1
9286,1192,169,96,412423,764,35842,1
5150,1189,107,51,397619,2181,18505,1
9055,1163,123,93,401386,656,36733,1
6950,1669,115,55,490522,907,20049,1
9179,1129,103,95,389933,656,34535,1
1576,403,182,117,130755,652,11594,1
3670,746,93,45,265386,907,14003,1
1472,470,176,117,119935,631,10713,1
1796,552,92,226,209654,555,10927,1
1740,472,92,226,210170,555,9337,1
1774,488,91,226,204981,555,9652,1
3857,769,105,51,273882,907,14178,1
2529,555,150,61,219078,699,14678,1
1810,530,95,202,215687,555,10680,1
1501,367,179,122,130359,674,11292,1
1778,964,91,202,208964,555,10103,1
4721,1107,111,51,335259,907,15877,1
1736,471,91,226,204167,555,9429,1
3881,882,106,44,274371,907,13528,1
4846,1033,95,50,349120,907,16092,1
4176,966,93,51,307068,907,15522,1
1728,474,90,226,204185,555,9360,1
1793,587,92,226,210793,555,10562,1
9237,1166,125,93,405401,649,38865,1
8464,2208,104,57,583403,907,26445,1
7191,1514,106,51,486567,907,22909,1
6424,1412,99,55,445750,907,24247,1
2276,510,162,60,199402,678,14581,1
5636,1394,129,61,396986,907,18800,1
7517,1932,103,50,516855,907,24498,1
9049,1290,117,93,399734,649,35553,1
5223,1137,78,28,352765,6929,12078,1
3946,936,102,49,286490,907,15330,1
1542,368,204,118,122168,652,10817,1
8972,1160,108,93,398495,649,36399,1
2831,553,160,66,241115,678,15721,1
3716,767,91,43,263971,907,13493,1
3634,787,71,28,254903,3235,7966,1
1521,369,180,118,124103,652,11013,1
1718,437,91,226,209206,555,9112,1
1738,495,91,226,207445,555,9480,1
7669,1912,110,59,536930,907,21721,1
1590,359,176,128,116107,652,10465,1
8998,1265,117,93,405009,649,39134,1
2388,1163,111,198,141657,8041,6668,1
3428,675,89,45,245521,907,11747,1
1572,352,182,117,122425,631,10515,1
2263,571,150,69,202326,678,14825,1
5487,1415,124,56,421508,2173,20659,1
879,482,41,84,77348,247,4353,1
1496,347,179,117,121379,631,10468,1
1524,379,182,118,123468,674,11054,1
1793,604,91,226,217436,555,10538,1
1752,442,202,119,139853,631,12084,1
1550,382,179,118,130098,631,11200,1
1777,519,93,229,210437,555,10122,1
1774,486,91,226,213470,555,10138,1
1833,546,90,226,218209,555,10869,1
1739,513,90,226,201111,555,9481,1
1737,480,90,226,200940,555,9575,1
1768,715,92,226,214431,555,9920,1
1525,373,175,118,128310,674,11274,1
8087,1894,76,37,527620,907,25266,1
1772,502,91,227,200116,555,9999,1
1585,407,183,117,126031,652,11255,1
1765,510,91,202,205002,555,9411,1
1788,484,90,226,213489,555,9631,1
1732,495,90,226,203241,555,9424,1
1437,338,170,118,118912,674,10397,1
1726,468,90,226,202701,555,9454,1
1726,706,90,226,212091,555,9395,1
1540,376,176,118,146291,1046,12393,1
1530,388,186,130,123675,631,11258,1
1741,468,90,226,203300,555,9464,1
1516,370,181,118,121506,652,10840,1
1550,399,181,118,131793,631,11619,1
1874,649,91,226,215511,555,11436,1
9250,2159,121,53,637926,907,28865,1
3403,726,94,48,245045,907,12015,1
1744,488,90,226,207778,555,9577,1
2245,510,98,76,176509,667,11194,1
1507,382,178,117,120943,631,10807,1
1725,718,90,226,202360,555,9449,1
9192,1143,98,93,391252,649,34555,1
5457,1120,106,45,362522,907,16924,1
6841,1700,97,50,456741,907,20123,1
1751,495,90,226,213568,555,9670,1
1749,512,91,226,205896,555,9984,1
1739,471,90,226,210418,555,9646,1
1750,462,91,202,202917,555,9430,1
1737,491,90,226,210771,555,9710,1
1709,453,90,226,200750,555,9062,1
6013,1294,95,44,398772,907,18476,1
4234,911,98,52,297734,907,15273,1
1471,334,178,117,115798,631,10186,1
1749,469,94,226,201680,555,9341,1
1727,460,90,232,210144,555,9294,1
1723,464,90,226,210203,555,9368,1
1728,475,90,227,203768,555,9375,1
1725,461,90,226,205852,555,9324,1
1613,361,199,117,122769,652,10676,1
9010,1158,108,96,391689,649,34681,1
1593,362,193,117,122502,652,10750,1
1620,392,211,117,131545,630,11689,1
1962,500,154,60,155309,699,12627,1
1538,381,182,118,122755,652,11168,1
4469,1133,127,57,325309,907,17829,1
1066,166,109,33,81626,555,6275,1
1962,711,245,127,156127,631,13158,1
1531,371,181,118,120121,674,10819,1
6735,1765,124,54,474289,907,20133,1
1592,396,205,117,126585,674,11466,1
1549,368,189,121,124711,652,11058,1
3805,697,108,46,267057,907,13562,1
1767,541,93,226,200373,555,10157,1
1715,454,91,226,206281,555,9224,1
3179,597,80,30,220366,907,8621,1
6300,1456,108,44,436653,907,18552,1
1721,457,91,226,203964,555,9301,1
1564,498,184,117,127215,631,11361,1
2189,535,161,58,186014,678,14274,1
